날짜,종가,시가,고가,저가,거래량,변동 %
2024.2.2,"17,710","17,475","17,790","17,475",4.00K,1.87%
2024.2.1,"17,385","17,425","17,460","17,240",16.80K,-0.17%
2024.1.31,"17,415","17,550","17,610","17,370",2.59K,-1.78%
2024.1.30,"17,730","17,770","17,835","17,595",1.26K,0.28%
2024.1.29,"17,680","17,795","17,935","17,680",2.28K,-0.65%
2024.1.26,"17,795","17,710","17,990","17,710",1.47K,0.48%
2024.1.25,"17,710","18,050","18,110","17,710",6.37K,-2.34%
2024.1.24,"18,135","18,040","18,135","17,890",1.08K,-0.63%
2024.1.23,"18,250","18,155","18,250","18,060",1.03K,-0.41%
2024.1.22,"18,325","18,455","18,455","18,265",5.22K,0.55%
2024.1.19,"18,225","18,015","18,240","18,015",5.89K,2.07%
2024.1.18,"17,855","17,570","17,855","17,555",2.80K,1.77%
2024.1.17,"17,545","17,900","17,900","17,480",4.32K,-1.96%
2024.1.16,"17,895","18,075","18,075","17,775",4.92K,-0.83%
2024.1.15,"18,045","18,060","18,165","18,000",58.26K,-0.08%
2024.1.12,"18,060","18,345","18,355","17,990",0.88K,-1.69%
2024.1.11,"18,370","18,270","18,405","18,270",9.92K,0.55%
2024.1.10,"18,270","18,720","18,720","18,240",10.31K,-1.88%
2024.1.9,"18,620","18,900","19,025","18,550",2.54K,-0.56%
2024.1.8,"18,725","18,765","18,865","18,615",3.82K,-0.16%
2024.1.5,"18,755","18,840","18,840","18,630",3.17K,0.21%
2024.1.4,"18,715","18,525","18,925","18,525",13.57K,-0.11%
2024.1.3,"18,735","19,150","19,150","18,705",2.94K,-3.63%
2024.1.2,"19,440","19,280","19,455","19,220",20.37K,0.83%
2023.12.28,"19,280","19,025","19,280","19,005",7.18K,1.42%
2023.12.27,"19,010","18,970","19,055","18,825",4.42K,1.71%
2023.12.26,"18,690","18,700","18,760","18,640",9.41K,-0.24%
2023.12.22,"18,735","18,840","18,910","18,735",2.90K,0.32%
2023.12.21,"18,675","18,600","18,700","18,545",4.14K,-0.27%
2023.12.20,"18,725","18,560","18,725","18,560",7.34K,1.71%
2023.12.19,"18,410","18,650","18,650","18,400",0.52K,-0.70%
2023.12.18,"18,540","18,525","18,595","18,465",3.40K,0.08%
2023.12.15,"18,525","18,515","18,675","18,430",6.55K,0.65%
2023.12.14,"18,405","18,300","18,405","18,240",3.39K,1.83%
2023.12.13,"18,075","18,210","18,210","18,020",2.36K,-0.74%
2023.12.12,"18,210","18,250","18,265","18,135",4.11K,1.03%
2023.12.11,"18,025","18,060","18,060","17,920",7.47K,0.11%
2023.12.8,"18,005","17,925","18,035","17,915",3.71K,2.04%
2023.12.7,"17,645","17,705","17,790","17,640",1.09K,-0.42%
2023.12.6,"17,720","17,715","17,840","17,715",0.50K,0.08%
2023.12.5,"17,705","17,890","17,920","17,585",3.23K,-1.88%
2023.12.4,"18,045","18,240","18,255","18,010",1.81K,-0.25%
2023.12.1,"18,090","18,400","18,400","18,085",23.47K,-1.68%
2023.11.30,"18,400","18,235","18,400","18,235",5.71K,0.90%
2023.11.29,"18,235","17,950","18,240","17,935",2.95K,1.02%
2023.11.28,"18,050","17,840","18,055","17,840",4.39K,1.38%
2023.11.27,"17,805","17,705","17,940","17,705",1.32K,-0.06%
2023.11.24,"17,815","17,880","17,980","17,815",1.98K,-0.31%
